Дата,Россия,США,Германия,Великобритания,Всего,Россия%,США%,Германия%,Великобритания%,Всего%,Доллар США,Евро,Доллар/Евро,Евро/Доллар
1/22/20,0,1,0,0,555,0.0,3.0375689873683606e-07,0.0,0.0,7.099538082306032e-06,61.8552,68.6222,0.9013875975996106,1.1094006647783856
1/23/20,0,1,0,0,654,0.0,3.0375689873683606e-07,0.0,0.0,8.365942172663325e-06,61.8343,68.5186,0.9024454673621468,1.1081001968163302
1/24/20,0,2,0,0,941,0.0,6.075137974736721e-07,0.0,0.0,1.2037234838648605e-05,61.9515,68.6856,0.9019576155700759,1.1086995472264594
1/25/20,0,2,0,0,1434,0.0,6.075137974736721e-07,0.0,0.0,1.834367136941775e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/26/20,0,5,0,0,2118,0.0,1.5187844936841802e-06,0.0,0.0,2.709337235734086e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/27/20,0,5,1,0,2927,0.0,1.5187844936841802e-06,1.2026559453897987e-06,0.0,3.744206840884641e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/28/20,0,5,4,0,5578,0.0,1.5187844936841802e-06,4.810623781559195e-06,0.0,7.135355571730279e-05,62.338,68.7775,0.9063719966558831,1.1032997529596715
1/29/20,0,6,4,0,6167,0.0,1.8225413924210164e-06,4.810623781559195e-06,0.0,7.888802045690324e-05,62.8299,69.226,0.9076055239360934,1.1018002575207027
1/30/20,0,6,4,0,8235,0.0,1.8225413924210164e-06,4.810623781559195e-06,0.0,0.00010534179478881112,62.3934,68.6764,0.9085129680647209,1.1006997534995688
1/31/20,2,8,5,2,9927,1.3647219379051518e-06,2.4300551898946885e-06,6.0132797269489946e-06,2.985372362061542e-06,0.00012698579196946302,63.0359,69.4151,0.9081006870263099,1.1011994752196763
2/1/20,2,8,8,2,12038,1.3647219379051518e-06,2.4300551898946885e-06,9.62124756311839e-06,2.985372362061542e-06,0.00015398962060324327,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/2/20,2,8,10,2,16787,1.3647219379051518e-06,2.4300551898946885e-06,1.2026559453897989e-05,2.985372362061542e-06,0.0002147386410588673,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/3/20,2,11,12,8,19887,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.1941489448246169e-05,0.0002543937186357118,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/4/20,2,11,12,8,23898,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.1941489448246169e-05,0.0003057022722359452,63.9091,70.7921,0.9027716369481905,1.107699842432455
2/5/20,2,11,12,9,27643,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.3434175629276939e-05,0.00035360816434087505,63.4342,70.1265,0.9045681732298062,1.1054998723086285
2/6/20,2,12,12,9,30803,1.3647219379051518e-06,3.6450827848420328e-06,1.4431871344677587e-05,1.3434175629276939e-05,0.0003940307595482391,63.1742,69.7443,0.9057973196375905,1.1039997340686545
2/7/20,2,12,13,9,34396,1.3647219379051518e-06,3.6450827848420328e-06,1.5634527290067383e-05,1.3434175629276939e-05,0.0004399922736558528,62.7977,69.0837,0.9090089268524993,1.10009920745505
2/8/20,2,12,13,13,37130,1.3647219379051518e-06,3.6450827848420328e-06,1.5634527290067383e-05,1.940492035340002e-05,0.00047496549368652785,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/9/20,2,12,14,14,40160,1.3647219379051518e-06,3.6450827848420328e-06,1.6837183235457184e-05,2.089760653443079e-05,0.0005137251340277662,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/10/20,2,12,14,14,42769,1.3647219379051518e-06,3.6450827848420328e-06,1.6837183235457184e-05,2.089760653443079e-05,0.0005470993589948589,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/11/20,2,13,16,15,44811,1.3647219379051518e-06,3.9488396835788685e-06,1.924249512623678e-05,2.2390292715461564e-05,0.0005732205423535416,63.7708,69.8226,0.9133260577520746,1.0948992328777434
2/12/20,2,13,16,16,45229,1.3647219379051518e-06,3.9488396835788685e-06,1.924249512623678e-05,2.3882978896492337e-05,0.0005785675818461613,63.949,69.7684,0.9165897455008284,1.0910006411359052
2/13/20,2,14,16,17,60382,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.5375665077523107e-05,0.000772404159433879,63.047,68.7843,0.9165899776547846,1.0910003648072073
2/14/20,2,14,16,18,66909,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0008558972856738997,63.6016,69.1795,0.9193706228001068,1.087700623883676
2/15/20,2,14,16,18,69051,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0008832976650834483,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/16/20,2,14,16,18,71235,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0009112353068343608,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/17/20,2,14,16,19,73270,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.8361037439584648e-05,0.0009372669464694829,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/18/20,2,14,16,19,75152,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.8361037439584648e-05,0.00096134141614678,63.3085,68.6201,0.9225941087232459,1.083900266156993
2/19/20,2,14,16,20,75652,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.9853723620615418e-05,0.0009677373964011098,63.7698,69.0882,0.9230201394738898,1.0833999793005467
2/20/20,2,14,16,22,76212,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,3.2839095982676954e-05,0.0009749008942859592,63.6873,68.7823,0.925925710538903,1.0800002512274818
2/21/20,2,16,16,23,76841,1.3647219379051518e-06,4.860110379789377e-06,1.924249512623678e-05,3.433178216370773e-05,0.000982947037445906,63.7413,68.7705,0.9268698060941829,1.0789001793185893
2/22/20,2,16,16,23,78602,1.3647219379051518e-06,4.860110379789377e-06,1.924249512623678e-05,3.433178216370773e-05,0.0010054736799016554,64.3008,69.4191,0.9262695713427572,1.0795993206927441
2/23/20,2,16,16,28,78982,1.3647219379051518e-06,4.860110379789377e-06,1.924249512623678e-05,4.179521306886158e-05,0.001010334624894946,64.3008,69.4191,0.9262695713427572,1.0795993206927441
2/24/20,2,16,16,30,79546,1.3647219379051518e-06,4.860110379789377e-06,1.924249512623678e-05,4.478058543092313e-05,0.00101754929062183,64.3008,69.4191,0.9262695713427572,1.0795993206927441
2/25/20,2,16,17,34,80399,1.3647219379051518e-06,4.860110379789377e-06,2.044515107162658e-05,5.0751330155046215e-05,0.0010284608329357166,64.3008,69.4191,0.9262695713427572,1.0795993206927441
2/26/20,2,16,27,37,81376,1.3647219379051518e-06,4.860110379789377e-06,3.247171052552457e-05,5.5229388698138525e-05,0.001040958578352677,64.9213,70.4591,0.9214040485898911,1.0853002019368065
2/27/20,2,17,46,44,82736,1.3647219379051518e-06,5.163867278526213e-06,5.5322173487930744e-05,6.567819196535391e-05,0.001058355644644454,65.5177,71.2439,0.9196253995078878,1.0873992829418613
2/28/20,2,17,48,56,84121,1.3647219379051518e-06,5.163867278526213e-06,5.7727485378710346e-05,8.359042613772316e-05,0.0010760725099489474,65.6097,71.6458,0.915750818610442,1.0920001158365302
2/29/20,2,25,79,61,86014,1.3647219379051518e-06,7.593922468420902e-06,9.50098196857941e-05,9.105385704287703e-05,0.0011002876911918398,66.9909,73.7235,0.9086776943579726,1.1005002171936786
3/1/20,2,32,130,94,88397,1.3647219379051518e-06,9.720220759578754e-06,0.00015634527290067386,0.00014031250101689246,0.0011307709330839754,66.9909,73.7235,0.9086776943579726,1.1005002171936786
3/2/20,3,55,159,134,90375,2.0470829068577275e-06,1.6706629430525983e-05,0.000191222295316978,0.00020001994825812332,0.0011560734309701039,66.9909,73.7235,0.9086776943579726,1.1005002171936786
3/3/20,3,74,196,189,92959,2.0470829068577275e-06,2.247801050652587e-05,0.0002357205652964006,0.0002821176882148157,0.00118912785692448,66.3274,73.4178,0.9034239653054164,1.106900014172122
3/4/20,3,107,262,245,95276,2.0470829068577275e-06,3.250198816484146e-05,0.00031509585769212727,0.00036570811435253885,0.0012187668294230442,66.4437,73.9385,0.8986346761159613,1.1127992571154224
3/5/20,4,184,482,294,98040,2.7294438758103036e-06,5.589126936757783e-05,0.000579680165677883,0.00043884973722304666,0.001254123808268979,66.0784,73.7369,0.8961374834038317,1.1159002033947554
3/6/20,13,237,670,373,102040,8.870692596383487e-06,7.199038500063015e-05,0.0008057794834111652,0.0005567719455244776,0.001305291650303617,66.1854,73.6842,0.8982305568900796,1.1132999120651987
3/7/20,13,403,799,428,106102,8.870692596383487e-06,0.00012241403019094493,0.0009609221003664493,0.0006388696854811699,0.0013572525938897921,67.5175,75.8424,0.8902342225457001,1.1232998852149443
3/8/20,17,519,1040,482,110062,1.1600136472193791e-05,0.0001576498304444179,0.0012507621832053908,0.0007194747392568315,0.0014079087575040838,67.5175,75.8424,0.8902342225457001,1.1232998852149443
3/9/20,17,594,1176,629,114025,1.1600136472193791e-05,0.00018043159784968062,0.0014143233917784034,0.0009388996078683548,0.0014586032969999016,67.5175,75.8424,0.8902342225457001,1.1232998852149443
3/10/20,20,782,1457,887,119036,1.3647219379051519e-05,0.0002375378948122058,0.001752269712432937,0.0013240126425742937,0.0015227038111087943,67.5175,75.8424,0.8902342225457001,1.1232998852149443
3/11/20,20,1147,1908,1298,126717,1.3647219379051519e-05,0.00034840916285115096,0.0022946675438037362,0.0019375066629779404,0.001620958859775808,72.0208,81.8588,0.8798174417411444,1.1365994268322486
3/12/20,28,1586,2078,1787,132506,1.9106107130672124e-05,0.00048175844139662204,0.002499119054520002,0.0026674302055019875,0.0016950115191604381,71.472,81.0207,0.8821449333318521,1.1336005708529215
3/13/20,45,2219,3675,2266,146887,3.0706243602865914e-05,0.0006740365582970392,0.004419760599307511,0.003382426886215727,0.0018789727032354705,74.0274,83.6584,0.8848770715194171,1.130100476310123
3/14/20,59,2978,4585,2630,157965,4.025929716820198e-05,0.0009045880444382978,0.005514177509612228,0.003925764656110927,0.0020206820417504007,73.1882,81.861,0.8940545558935267,1.1184999767722121
3/15/20,63,3212,5795,3072,169258,4.298874104401228e-05,0.0009756671587427175,0.0069693912035338835,0.004585531948126528,0.0021651416517746926,73.1882,81.861,0.8940545558935267,1.1184999767722121
3/16/20,90,4679,7272,3684,184002,6.141248720573183e-05,0.0014212785291896558,0.008745714034874617,0.00549905589091736,0.0023537463175143684,73.1882,81.861,0.8940545558935267,1.1184999767722121
3/17/20,114,6512,9257,4452,199933,7.778915046059366e-05,0.0019780649245742764,0.011132986086473368,0.006645438877948992,0.002557535040377823,74.1262,82.7471,0.8958162884258178,1.1163003094722246
3/18/20,147,9169,12327,5451,219466,0.00010030706243602866,0.0027851470045180495,0.014825139838820051,0.008136632372798732,0.0028074004049934696,73.8896,82.3056,0.8977469333799888,1.1138996557025616
3/19/20,199,13663,15320,6506,246622,0.0001357898328215626,0.0041502305074413905,0.018424689083371717,0.009711416293786196,0.0031547788845666274,77.2131,84.8881,0.9095868561082178,1.0994002313078999
3/20/20,253,20030,19848,7760,277257,0.00017263732514500172,0.006084250681698826,0.023870315204096725,0.011583244764798783,0.003546660594749412,80.157,87.2669,0.9185269558102784,1.088699676884115
3/21/20,306,26025,22213,8957,309226,0.00020880245649948823,0.007905273289626159,0.026714596514943602,0.013369990123492614,0.003955606780250748,78.0443,84.1552,0.9273853546780236,1.078300401182405
3/22/20,367,34832,24873,10333,343464,0.00025042647560559537,0.010580460296801472,0.029913661329680465,0.015423926308590956,0.004393577924146233,78.0443,84.1552,0.9273853546780236,1.078300401182405
3/23/20,438,46052,29056,12668,386832,0.00029887410440122825,0.013988612700628775,0.03494437114924599,0.018909348541297805,0.004948339667485778,78.0443,84.1552,0.9273853546780236,1.078300401182405
3/24/20,495,56629,32986,15039,428304,0.00033776867963152506,0.01720144941856829,0.039670809014627904,0.022448507476521763,0.005478847853700906,80.8815,86.705,0.9328354766161121,1.0720003956405357
3/25/20,658,68663,37323,17732,479288,0.00044899351757079494,0.020856859937967372,0.04488672784978347,0.026468311362037627,0.006131033168274403,78.8493,85.4253,0.9230204634926656,1.0833995989818552
3/26/20,840,86556,43938,20816,542014,0.0005731832139201638,0.026291982127065582,0.05284229692853698,0.031071755544336527,0.00693342168314058,77.7928,84.1485,0.924470430251282,1.0817003630156004
3/27/20,1036,105196,50871,24017,607005,0.0007069259638348686,0.031954010719520205,0.061180310597924455,0.03584984400981602,0.00776478398855887,78.7223,85.9648,0.9157504001637881,1.0920006148194348
3/28/20,1264,124793,57695,26839,674387,0.000862504264756056,0.03790673466406598,0.06938723476926444,0.04006220441268486,0.008626731871553366,77.7325,85.7389,0.9066188159633493,1.1029993889299843
3/29/20,1534,143724,62095,29696,733786,0.0010467417263732514,0.043657156514053025,0.07467892092897956,0.044326808831889775,0.009386561533807233,77.7325,85.7389,0.9066188159633493,1.1029993889299843
3/30/20,1836,165733,66885,33969,799023,0.0012528147389969293,0.050342542098352046,0.08043964290739669,0.050705056883434255,0.010221070661510654,77.7325,85.7389,0.9066188159633493,1.1029993889299843
3/31/20,2337,192101,71808,38484,875852,0.00159467758444217,0.058352004004244944,0.08636031812655068,0.057444534990788186,0.011203864195430456,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/1/20,2777,217920,77872,43398,952378,0.0018949164107813032,0.06619470337273131,0.09365322377939442,0.06477959488437339,0.012182781765316134,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/2/20,3548,248309,84794,48263,1033709,0.0024210167178437395,0.07542557176844501,0.1019780082333826,0.0720415131550881,0.013223164705445921,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/3/20,4149,280306,91159,53178,1116962,0.0028311156601842375,0.08514488125732757,0.10963291332578867,0.07937806573485433,0.014288133793673352,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/4/20,4731,313304,96092,57198,1197316,0.0032282497441146365,0.09516825140184568,0.11556561510439654,0.08537866418259803,0.01531601898838618,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/5/20,5389,341489,100123,60792,1269293,0.0036772432616854313,0.10372963959274341,0.12041352122026283,0.09074337831722262,0.016236745929917966,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/6/20,6343,371675,103374,66067,1342527,0.004328215626066189,0.11289884533801353,0.12432335569872506,0.09861729792215994,0.017173552365809138,77.7325,85.7389,0.9066188159633493,1.1029993889299843
4/7/20,7497,403073,107663,71517,1420267,0.005115660184237462,0.12243620444455272,0.12948154704850193,0.10675243760877764,0.018167999375752326,76.4074,82.6346,0.9246417360282495,1.0814999594280137
4/8/20,8672,435089,113296,76646,1504298,0.005917434322756739,0.13216128531451124,0.13625610798888266,0.11440842503128446,0.019242920609255497,75.455,82.012,0.920048285616739,1.0868994765091777
4/9/20,10131,469738,118181,81498,1590779,0.006912998976458547,0.14268615809884388,0.14213108228211183,0.12165093838164577,0.02034918214600488,75.7499,82.2341,0.9211494988088883,1.0856001130034496
4/10/20,11917,503274,122171,85813,1678319,0.008131695667007848,0.15287294945488245,0.14692967950421712,0.12809187925279356,0.021468990368932933,74.605,81.0882,0.9200475531581661,1.0869003418001475
4/11/20,13584,532632,124908,89390,1754535,0.00926919140225179,0.16179064448799846,0.15022134882674898,0.13343121772234062,0.022443942431060928,73.7515,80.7358,0.9134919081745644,1.0947004467705743
4/12/20,15770,559591,127854,92885,1849888,0.010760832480382123,0.16997962672104483,0.15376437324186734,0.13864815592504315,0.02366369424144314,73.7515,80.7358,0.9134919081745644,1.0947004467705743
4/13/20,18328,585382,130072,97068,1920033,0.012506311838962812,0.17781382089636658,0.1564318641287419,0.14489206222029488,0.02456098631132306,73.7515,80.7358,0.9134919081745644,1.0947004467705743
4/14/20,21102,613973,131359,101393,1991379,0.014399181166837256,0.18649853438815145,0.1579796823304586,0.15134792995325294,0.02547364152577388,73.5245,80.5387,0.912908949362232,1.0953994926861115
4/15/20,24490,643981,134753,106458,2073252,0.016711020129648584,0.19561367140544642,0.16206149660911157,0.15890838546017383,0.026520957708499365,73.315,80.1186,0.915080892576755,1.0927995635272454
4/16/20,27938,675504,137698,111756,2170173,0.019063800750597066,0.2051890001243277,0.1656033183682845,0.16681663684727482,0.027760767312959154,73.7145,80.6731,0.9137432427909674,1.0943993379864205
4/17/20,32008,708310,141397,116721,2257986,0.02184100989423405,0.21515404894428833,0.17005194271028137,0.1742278237360926,0.028884067741106068,74.7119,81.2791,0.9192018612410816,1.0879003211001192
4/18/20,36793,736161,143342,121437,2331380,0.02510610713067212,0.22361398233100796,0.17239110852406453,0.18126733176583373,0.029822920890678624,73.9441,80.111,0.923020558974423,1.083399486909706
4/19/20,42853,761842,145184,125289,2411352,0.029241214602524736,0.23141476324746868,0.17460640077547254,0.18701715893516424,0.03084591955647714,73.9441,80.111,0.923020558974423,1.083399486909706
4/20/20,47121,790264,147065,130147,2485855,0.03215353121801433,0.24004814182336703,0.17686859660875076,0.19426862840261175,0.031798958990253805,73.9441,80.111,0.923020558974423,1.083399486909706
4/21/20,52763,816302,148291,134907,2561734,0.03600341180484476,0.24795736395267676,0.17834305279779866,0.20137381462431822,0.03276960016169038,74.6657,81.1019,0.9206405768545497,1.0862002231278887
4/22/20,57999,845599,150648,140397,2639753,0.03957625383828045,0.2568565298149698,0.18117771286108242,0.20956866175817715,0.03376761612861549,76.2562,82.616,0.9230197540428006,1.0834004317026025
4/23/20,62773,878844,153129,145540,2727810,0.04283384510406005,0.2669549279134759,0.1841615022615945,0.21724554678721839,0.034894037795126516,77.0416,83.6826,0.9206406110708798,1.0862001827584058
4/24/20,68622,912596,154999,150513,2812183,0.04682497441146366,0.2772073307596416,0.18641046887947343,0.22466867516548442,0.035973333879123645,75.129,81.1468,0.9258405753523244,1.0800995620865443
4/25/20,74588,943963,156513,154261,2895430,0.05089593995223473,0.28673527340231997,0.18823128998079358,0.23026326297198776,0.03703822621558803,74.7163,80.2528,0.9310117528609595,1.0741002967224018
4/26/20,80949,971012,157770,157729,2967570,0.055236438075742064,0.29495159375625263,0.18974302850414856,0.23543989864780243,0.037961038246682725,74.7163,80.2528,0.9310117528609595,1.0741002967224018
4/27/20,87147,994171,158758,162431,3037260,0.05946571136131013,0.301986299774099,0.19093125257819368,0.24245850907100913,0.038852509974531206,74.7163,80.2528,0.9310117528609595,1.0741002967224018
4/28/20,93558,1018837,159912,167152,3112744,0.0638403275332651,0.30947876743834185,0.1923191175391735,0.2495054805316554,0.03981809832156686,74.496,80.7611,0.9224242859495474,1.0840998174398626
4/29/20,99399,1046655,161539,172587,3190206,0.06782599795291709,0.3179286768474031,0.1942758387623227,0.25761822992555766,0.040808989166488646,74.5706,80.7749,0.923190248455894,1.0832003497356868
4/30/20,106498,1076104,163009,177543,3273554,0.07267007847151144,0.3268740137583042,0.19604374300204574,0.26501598263874615,0.041875173490964396,73.6894,80.0488,0.9205559608638731,1.08630006486686
5/1/20,114431,1110297,164077,182270,3360744,0.07808324803821222,0.33726037339681286,0.19732817955172202,0.2720719102164786,0.04299050452771443,72.7263,79.1189,0.9192026178321488,1.0878994256548182
